iter	Passed	Remaining
1013	2314	362
1014	2316	360
1015	2317	358
1016	2320	355
1017	2322	353
1018	2323	351
1019	2325	348
1020	2327	346
1021	2329	344
1022	2330	341
1023	2332	339
1024	2334	337
1025	2336	334
1026	2338	332
1027	2340	330
1028	2341	327
1029	2343	325
1030	2344	322
1031	2346	320
1032	2349	318
1033	2351	316
1034	2352	313
1035	2354	311
1036	2356	309
1037	2358	306
1038	2359	304
1039	2361	301
1040	2363	299
1041	2365	297
1042	2367	295
1043	2368	292
1044	2370	290
1045	2372	288
1046	2373	285
1047	2375	283
1048	2377	281
1049	2380	278
1050	2382	276
1051	2383	274
1052	2385	271
1053	2387	269
1054	2388	267
1055	2390	264
1056	2393	262
1057	2395	260
1058	2397	258
1059	2398	255
1060	2400	253
1061	2402	251
1062	2403	248
1063	2406	246
1064	2408	244
1065	2410	241
1066	2411	239
1067	2413	237
1068	2414	234
1069	2416	232
1070	2418	230
1071	2421	228
1072	2423	225
1073	2424	223
1074	2426	221
1075	2428	218
1076	2429	216
1077	2431	214
1078	2433	212
1079	2436	209
1080	2438	207
1081	2440	205
1082	2441	202
1083	2443	200
1084	2444	198
1085	2447	196
1086	2449	193
1087	2452	191
1088	2453	189
1089	2455	186
1090	2457	184
1091	2458	182
1092	2460	180
1093	2464	177
1094	2466	175
1095	2467	173
1096	2469	171
1097	2471	168
1098	2474	166
1099	2476	164
1100	2479	162
1101	2480	159
1102	2482	157
1103	2484	155
1104	2485	152
1105	2487	150
1106	2489	148
1107	2491	146
1108	2493	143
1109	2495	141
1110	2497	139
1111	2498	137
1112	2501	134
1113	2503	132
1114	2504	130
1115	2507	128
1116	2510	125
1117	2511	123
1118	2513	121
1119	2515	119
1120	2517	116
1121	2519	114
1122	2521	112
1123	2523	110
1124	2525	107
1125	2527	105
1126	2528	103
1127	2531	100
1128	2533	98
1129	2534	96
1130	2537	94
1131	2539	91
1132	2541	89
1133	2542	87
1134	2544	85
1135	2546	82
1136	2548	80
1137	2551	78
1138	2554	76
1139	2556	74
1140	2558	71
1141	2560	69
1142	2561	67
1143	2566	65
1144	2568	62
1145	2570	60
1146	2572	58
1147	2573	56
1148	2575	53
1149	2577	51
1150	2579	49
1151	2581	47
1152	2583	44
1153	2585	42
1154	2587	40
1155	2589	38
1156	2590	35
1157	2592	33
1158	2595	31
1159	2597	29
1160	2599	26
1161	2600	24
1162	2602	22
1163	2604	20
1164	2606	17
1165	2610	15
1166	2612	13
1167	2614	11
1168	2615	8
1169	2617	6
1170	2619	4
1171	2621	2
1172	2626	0
